x,y
0.0,0.0
0.0083467,0.0179442
0.0177683,0.025442
0.027384,0.0311682
0.0371067,0.0359473
0.0469015,0.0400991
0.0567498,0.0437879
0.0666402,0.0471119
0.0765652,0.0501351
0.0865191,0.0529024
0.0964978,0.0554466
0.1064979,0.0577926
0.1165168,0.0599601
0.1265523,0.0619647
0.1366025,0.0638194
0.1466658,0.065535
0.1567408,0.0671205
0.1668262,0.0685838
0.176921,0.0699316
0.1870242,0.0711699
0.1971348,0.0723038
0.2072521,0.0733382
0.2173753,0.0742772
0.2275037,0.0751247
0.2376366,0.0758839
0.2477736,0.0765582
0.257914,0.0771504
0.2680573,0.0776631
0.278203,0.0780989
0.2883508,0.07846
0.2985,0.0787485
0.3086505,0.0789665
0.3188017,0.0791159
0.3289533,0.0791983
0.339105,0.0792155
0.3492565,0.079169
0.3594074,0.0790603
0.3695575,0.0788908
0.3797064,0.0786617
0.389854,0.0783744
0.4,0.0780301
0.410064,0.0776369
0.4201272,0.0772031
0.4301893,0.0767296
0.4402503,0.0762175
0.45031,0.0756676
0.4603685,0.0750809
0.4704257,0.0744581
0.4804814,0.0738001
0.4905356,0.0731076
0.5005882,0.0723814
0.5106392,0.0716222
0.5206884,0.0708305
0.5307359,0.0700071
0.5407815,0.0691526
0.5508253,0.0682674
0.5608671,0.0673522
0.5709069,0.0664073
0.5809447,0.0654335
0.5909803,0.0644309
0.6010138,0.0634002
0.6110451,0.0623417
0.6210742,0.0612557
0.631101,0.0601427
0.6411254,0.059003
0.6511475,0.0578368
0.6611671,0.0566445
0.6711843,0.0554263
0.681199,0.0541825
0.6912111,0.0529132
0.7012206,0.0516187
0.7112275,0.0502992
0.7212318,0.0489548
0.7312333,0.0475857
0.7412321,0.0461919
0.7512281,0.0447736
0.7612212,0.0433309
0.7712115,0.0418638
0.7811989,0.0403723
0.7911833,0.0388565
0.8011647,0.0373164
0.811143,0.035752
0.8211183,0.0341632
0.8310904,0.03255
0.8410593,0.0309123
0.851025,0.02925
0.8609874,0.0275631
0.8709465,0.0258514
0.8809021,0.0241147
0.8908543,0.022353
0.900803,0.020566
0.9107482,0.0187536
0.9206897,0.0169155
0.9306276,0.0150515
0.9405617,0.0131615
0.950492,0.011245
0.9604184,0.0093019
0.9703409,0.0073319
0.9802593,0.0053347
0.9901736,0.0033099
1.0000838,0.0012572
0.0,0.0
0.0116533,-0.0159692
0.0222317,-0.021542
0.032616,-0.0253932
0.0428933,-0.0283473
0.0530985,-0.0307241
0.0632502,-0.0326879
0.0733598,-0.0343369
0.0834348,-0.0357351
0.0934809,-0.0369274
0.1035022,-0.0379466
0.1135021,-0.0388176
0.1234832,-0.0395601
0.1334477,-0.0401897
0.1433975,-0.0407194
0.1533342,-0.04116
0.1632592,-0.0415205
0.1731738,-0.0418088
0.183079,-0.0420316
0.1929758,-0.0421949
0.2028652,-0.0423038
0.2127479,-0.0423632
0.2226247,-0.0423772
0.2324963,-0.0423497
0.2423634,-0.0422839
0.2522264,-0.0421832
0.262086,-0.0420504
0.2719427,-0.0418881
0.281797,-0.0416989
0.2916492,-0.041485
0.3015,-0.0412485
0.3113495,-0.0409915
0.3211983,-0.0407159
0.3310467,-0.0404233
0.340895,-0.0401155
0.3507435,-0.039794
0.3605926,-0.0394603
0.3704425,-0.0391158
0.3802936,-0.0387617
0.390146,-0.0383994
0.4,-0.0380301
0.409936,-0.0376481
0.4198728,-0.0372476
0.4298107,-0.0368296
0.4397497,-0.0363953
0.44969,-0.0359454
0.4596315,-0.0354809
0.4695743,-0.0350025
0.4795186,-0.0345112
0.4894644,-0.0340076
0.4994118,-0.0334925
0.5093608,-0.0329666
0.5193116,-0.0324305
0.5292641,-0.0318849
0.5392185,-0.0313304
0.5491747,-0.0307674
0.5591329,-0.0301966
0.5690931,-0.0296185
0.5790553,-0.0290335
0.5890197,-0.028442
0.5989862,-0.0278446
0.6089549,-0.0272417
0.6189258,-0.0266335
0.628899,-0.0260205
0.6388746,-0.025403
0.6488525,-0.0247812
0.6588329,-0.0241556
0.6688157,-0.0235263
0.678801,-0.0228936
0.6887889,-0.0222576
0.6987794,-0.0216187
0.7087725,-0.020977
0.7187682,-0.0203326
0.7287667,-0.0196857
0.7387679,-0.0190364
0.7487719,-0.0183847
0.7587788,-0.0177309
0.7687885,-0.0170749
0.7788011,-0.0164168
0.7888167,-0.0157565
0.7988353,-0.0150942
0.808857,-0.0144298
0.8188817,-0.0137632
0.8289096,-0.0130944
0.8389407,-0.0124234
0.848975,-0.01175
0.8590126,-0.0110742
0.8690535,-0.0103958
0.8790979,-0.0097147
0.8891457,-0.0090308
0.899197,-0.0083438
0.9092518,-0.0076536
0.9193103,-0.0069599
0.9293724,-0.0062626
0.9394383,-0.0055615
0.949508,-0.0048561
0.9595816,-0.0041464
0.9696591,-0.0034319
0.9797407,-0.0027125
0.9898264,-0.0019877
0.9999162,-0.0012572
